课程代码,课程名称,课程英文名称,课程性质,开课学院,任课老师,学分,起止周,上课地点,上课时间,班级
INS312,Excel在经济管理中的应用,Excel Application in Economic Management,专业方向课,计算机与人工智能学院,陈斌,3.0,1-17,I103,"周二第10,11,12节{第1-17周}",2022级保险学
INS323,R语言及其初步应用,Language R and Its Preliminary Application,实践环节课,金融学院,杨亮,2.0,1-17,E302,"周二第10,11节{第1-17周}",2023级保险学（精算双语实验班）
ECO406,《资本论》等经典著作选读,"Selected Readings of ""Das Kapital"" and other Classics",实践环节课,经济学院,李怡乐,2.0,1-17,B502;B502,"周五第1,2节{第1-17周};周五第3节{第1-17周}",2023级经济学（经济学拔尖学生培养基地班）
ART015,版式设计,Format Design,通识基础课,人文与艺术学院,赖槿儿,3.0,1-13,C404;C404;C404;C404,"周四第6节{第1-13周};周四第7节{第1-13周};周四第8,9节{第1-12周};周四第8节{第13-13周|单周}",2023级数字媒体艺术
LAW319,保险法,Insurance Law,专业方向课,金融学院,王伊琳/孙蓉,3.0,1-17,C301;C301,"周一第1,2节{第1-17周};周一第3节{第1-17周}",2023级保险学
LAW319,保险法,Insurance Law,专业方向课,金融学院,王伊琳/孙蓉,3.0,1-17,J203,"周一第10,11,12节{第1-17周}",2022级保险学（精算双语实验班）
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2022级金融科技
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2021级金融工程
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2021级金融学（CFA国际化实验班）
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2021级信用管理
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2021级金融学（大数据与财富管理光华实验班）
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2022级金融学（大数据与财富管理光华实验班）
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2022级金融工程
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2021级金融学
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2022级信用管理
PRT103,本科生科研训练,Undergraduate Research Training,实践环节课,金融学院,张泽立,2.0,1-17,,,2022级金融学（双语实验班）
